"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","lon","lat"
"2 W 26TH ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-07T14:13:00.000","2015-05-21T14:13:00.000","CHARLES VILLAGE","15-00357204","MD","NEW","2015-05-07T14:13:00.000","21218",-76.617846,39.319529
"534 N CURLEY ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-07T14:07:39.000","2015-05-21T14:07:39.000","ELLWOOD PARK/MONUMENT","15-00357181","MD","NEW","2015-05-07T14:07:39.000","21205",-76.576033,39.2976529
"4400  NEWPORT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-07T14:03:55.000","2015-05-21T14:03:55.000","MEDFIELD","15-00357165","MD","NEW","2015-05-07T14:03:55.000","21211",-76.6411181,39.3420147
"200  GUILFORD AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-30T22:59:49.000","2015-05-14T22:59:49.000","DOWNTOWN","15-00339721","MD","NEW","2015-04-30T22:59:49.000","21202",-76.6111063,39.2912972
"2800  ULMAN AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-27T17:41:02.000","2015-05-11T17:41:02.000","PARK CIRCLE","15-00328805","MD","NEW","2015-04-27T17:41:02.000","21215",-76.660879,39.328836
"912 W 36TH ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-24T13:10:00.000","2015-05-08T13:10:00.000","HAMPDEN","15-00321704","MD","NEW","2015-04-24T13:10:00.000","21211",-76.632121,39.3313782
"1616  DESOTO RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-22T12:28:51.000","2015-05-06T12:28:51.000","MORRELL PARK","15-00313875","MD","NEW","2015-04-22T12:28:51.000","21230",-76.657207,39.266157
"2001 E MONUMENT ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-22T12:23:17.000","2015-05-06T12:23:17.000","MIDDLE EAST","15-00313837","MD","NEW","2015-04-22T12:23:17.000","21205",-76.5894009,39.2983747
"824  BEAUMONT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-22T12:19:19.000","2015-05-06T12:19:19.000","WINSTON-GOVANS","15-00313807","MD","NEW","2015-04-22T12:19:19.000","21212",-76.603008,39.351339
"EAST DR","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-22T12:09:48.000","2015-05-06T12:09:48.000","DRUID HILL PARK","15-00313754","MD","NEW","2015-04-22T12:09:48.000","21217",-76.638852,39.3200863
"ARGONNE DR","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-20T14:06:51.000","2015-05-04T14:06:51.000","HILLEN","15-00307572","MD","NEW","2015-04-20T14:06:51.000","21218",NA,NA
"300 N HAVEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-20T14:01:00.000","2015-05-04T14:01:00.000","BALTIMORE HIGHLANDS","15-00307540","MD","NEW","2015-04-20T14:01:00.000","21224",-76.5630059,39.2958009
"3501  ASIATIC AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-15T14:44:04.000","2015-04-29T14:44:04.000","FAIRFIELD AREA","15-00294759","MD","NEW","2015-04-15T14:44:04.000","21226",-76.5664321,39.2325984
"6000  ERDMAN AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-15T14:49:02.000","2015-04-29T14:49:02.000","PULASKI INDUSTRIAL AREA","15-00294799","MD","NEW","2015-04-15T14:49:02.000","21205",-76.5452481,39.30109
"3000 W NORTH AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-15T14:38:02.000","2015-04-29T14:38:02.000","WALBROOK","15-00294735","MD","NEW","2015-04-15T14:38:02.000","21216",-76.667712,39.309332
"EASTERN AVE & KANE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-14T10:36:30.000","2015-04-28T10:36:30.000","PULASKI INDUSTRIAL AREA","15-00289734","MD","NEW","2015-04-14T10:36:30.000","21224",-71.130511,41.68958
"5400  HARFORD RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-14T10:32:02.000","2015-04-28T10:32:02.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00289722","MD","NEW","2015-04-14T10:32:02.000","21214",-76.5625647,39.3514488
"W BALTIMORE ST & HILTON ALLEY ABINGTON","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-09T10:49:26.000","2015-04-23T10:49:26.000","CARROLL-SOUTH HILTON","15-00276687","MD","NEW","2015-04-09T10:49:26.000","21229",-88.1542236,41.3052771
"1800  MCHENRY ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-09T10:45:06.000","2015-04-23T10:45:06.000","CARROLLTON RIDGE","15-00276671","MD","NEW","2015-04-09T10:45:06.000","21223",-76.6450001,39.2843323
"700  GLENWOOD AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-06T14:46:50.000","2015-04-20T14:46:50.000","WOODBOURNE-MCCABE","15-00267175","MD","NEW","2015-04-06T14:46:50.000","21212",-76.606363,39.3537729
"7000  HARFORD RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-01T12:22:08.000","2015-04-15T12:22:08.000","NORTH HARFORD ROAD","15-00255280","MD","NEW","2015-04-01T12:22:08.000","21234",-76.549215,39.366942
"5000  CORDELIA AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-04-01T12:16:27.000","2015-04-15T12:16:27.000","LANGSTON HUGHES","15-00255236","MD","NEW","2015-04-01T12:16:27.000","21215",-76.679937,39.343993
"3500  GWYNNS FALLS PKWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-31T15:43:39.000","2015-04-14T15:43:39.000","GARWYN OAKS","15-00252989","MD","NEW","2015-03-31T15:43:39.000","21216",-76.6765847,39.3142702
"10 E LEE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-30T15:22:29.000","2015-04-13T15:22:29.000","OTTERBEIN","15-00249304","MD","NEW","2015-03-30T15:22:29.000","21202",-76.6143946,39.2823823
"N HAVEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-30T15:17:55.000","2015-04-13T15:17:55.000","ORANGEVILLE","15-00249276","MD","NEW","2015-03-30T15:17:55.000","21205",-76.5630432,39.2970532
"1800  EDISON HWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-30T15:13:53.000","2015-04-13T15:13:53.000","BEREA","15-00249254","MD","NEW","2015-03-30T15:13:53.000","21213",-76.573561,39.31262
"2815  HARLEM AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-30T15:07:07.000","2015-04-13T15:07:07.000","MOSHER","15-00249223","MD","NEW","2015-03-30T15:07:07.000","21216",-76.663478,39.295317
"SAINT PAUL ST &E FAYETTE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-27T15:27:25.000","2015-04-10T15:27:25.000","DOWNTOWN","15-00243778","MD","NEW","2015-03-27T15:27:25.000","21202",-90.741793,38.8614405
"2200 S HANOVER ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-26T20:12:57.000","2015-04-09T20:12:57.000","SPRING GARDEN INDUSTRIAL AREA","15-00241304","MD","NEW","2015-03-26T20:12:57.000","21230",-76.6147558,39.265122
"E FAYETTE ST & SAINT PAUL ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-23T18:43:22.000","2015-04-06T18:43:22.000","DOWNTOWN","15-00229706","MD","NEW","2015-03-23T18:43:22.000","21202",-79.722638,39.8973136
"1800  GREENMOUNT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-21T00:31:20.000","2015-04-04T00:31:20.000","GREENMOUNT WEST","15-00224143","MD","NEW","2015-03-21T00:31:20.000","21202",-76.6094908,39.3113376
"1800 E BALTIMORE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-20T16:58:17.000","2015-04-03T16:58:17.000","WASHINGTON HILL","15-00223005","MD","NEW","2015-03-20T16:58:17.000","21231",-76.591637,39.291823
"1831 E BALTIMORE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-20T15:55:20.000","2015-04-03T15:55:20.000","WASHINGTON HILL","15-00222773","MD","NEW","2015-03-20T15:55:20.000","21231",-76.5906916,39.2915698
"3501  ASIATIC AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-19T10:45:45.000","2015-04-02T10:45:45.000","FAIRFIELD AREA","15-00217683","MD","NEW","2015-03-19T10:45:45.000","21226",-76.5664321,39.2325984
"2840  SISSON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:23:56.000","2015-03-31T11:23:56.000","JONES FALLS AREA","15-00209819","MD","NEW","2015-03-17T11:23:56.000","21211",-76.6261777,39.320078
"HILLEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:28:24.000","2015-03-31T11:28:24.000","PENN-FALLSWAY","15-00209866","MD","NEW","2015-03-17T11:28:24.000","21202",-76.6068723,39.2958938
"200 E NORTH AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:19:22.000","2015-03-31T11:19:22.000","BARCLAY","15-00209762","MD","NEW","2015-03-17T11:19:22.000","21202",-76.6132357,39.312022
"800 E COLD SPRING LN","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:13:06.000","2015-03-31T11:13:06.000","RICHNOR SPRINGS","15-00209683","MD","NEW","2015-03-17T11:13:06.000","21212",-76.604836,39.3459586
"S WOLFE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-17T11:07:44.000","2015-03-31T11:07:44.000","WASHINGTON HILL","15-00209638","MD","NEW","2015-03-17T11:07:44.000","21231",-76.5901235,39.2862759
"1100  HILLEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-16T21:57:39.000","2015-03-30T21:57:39.000","OLDTOWN","15-00209097","MD","NEW","2015-03-16T21:57:39.000","21202",-76.605377,39.29755
"921 E FORT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-13T15:48:31.000","2015-03-27T15:48:31.000","LOCUST POINT INDUSTRIAL AREA","15-00200300","MD","NEW","2015-03-13T15:48:31.000","21230",-76.6010954,39.2708308
"4101  PULASKI HWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-09T11:56:19.000","2015-03-23T11:56:19.000","KRESSON","15-00181044","MD","NEW","2015-03-09T11:56:19.000","21224",-76.562558,39.296801
"3825  MARY AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-06T11:15:14.000","2015-03-20T11:15:14.000","GLENHAM-BELFORD","15-00172565","MD","NEW","2015-03-06T11:15:14.000","21206",-76.545976,39.347448
"4500  WESTCHESTER RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-06T11:11:06.000","2015-03-20T11:11:06.000","WINDSOR HILLS","15-00172530","MD","NEW","2015-03-06T11:11:06.000","21216",-76.690879,39.3181269
"405  MCMECHEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-06T11:05:29.000","2015-03-20T11:05:29.000","MADISON PARK","15-00172493","MD","NEW","2015-03-06T11:05:29.000","21217",-76.6301609,39.3047967
"3300  REISTERSTOWN RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-05T18:22:55.000","2015-03-19T18:22:55.000","LIBERTY SQUARE","15-00170657","MD","NEW","2015-03-05T18:22:55.000","21215",-76.6574128,39.3244417
"MCMECHEN ST & MCCULLOH ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-04T18:39:12.000","2015-03-18T18:39:12.000","MADISON PARK","15-00167659","MD","NEW","2015-03-04T18:39:12.000","21217",-76.628539,39.306808
"700 W NORTHERN PKWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-04T11:09:22.000","2015-03-18T11:09:22.000","NORTH ROLAND PARK/POPLAR HILL","15-00165137","MD","NEW","2015-03-04T11:09:22.000","21210",-76.6331745,39.3620747
"2400  BANGER ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-04T11:01:30.000","2015-03-18T11:01:30.000","LAKELAND","15-00165116","MD","NEW","2015-03-04T11:01:30.000","21230",-76.648449,39.258784
"3000  DRUID PARK DR","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-03T12:25:58.000","2015-03-17T12:25:58.000","PARK CIRCLE","15-00162420","MD","NEW","2015-03-03T12:25:58.000","21215",-76.6610767,39.3238608
"W 29TH ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-03T11:36:39.000","2015-03-17T11:36:39.000","JOHNS HOPKINS HOMEWOOD","15-00162194","MD","NEW","2015-03-03T11:36:39.000","21218",-76.6221466,39.3221866
"1  GUILFORD AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-03T11:33:04.000","2015-03-17T11:33:04.000","DOWNTOWN","15-00162170","MD","NEW","2015-03-03T11:33:04.000","21202",-76.6109586,39.2897098
"500 S HAVEN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-02T13:38:00.000","2015-03-16T13:38:00.000","BREWERS HILL","15-00159278","MD","NEW","2015-03-02T13:38:00.000","21224",-76.5625514,39.2863909
"1 N EUTAW ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-03-02T13:30:55.000","2015-03-16T13:30:55.000","DOWNTOWN","15-00159223","MD","NEW","2015-03-02T13:30:55.000","21201",-76.6209082,39.2893447
"2947  WASHINGTON BLVD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-26T12:33:35.000","2015-03-12T12:33:35.000","MORRELL PARK","15-00148912","MD","NEW","2015-02-26T12:33:35.000","21230",-76.658193,39.259759
"2505 W LANVALE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-26T12:30:35.000","2015-03-12T12:30:35.000","EVERGREEN LAWN","15-00148881","MD","NEW","2015-02-26T12:30:35.000","21216",-76.656687,39.296694
"700 N GRANTLEY ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-26T12:26:40.000","2015-03-12T12:26:40.000","EDMONDSON VILLAGE","15-00148845","MD","NEW","2015-02-26T12:26:40.000","21229",-76.677546,39.29535
"3100 W NORTH AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-26T12:22:47.000","2015-03-12T12:22:47.000","WALBROOK","15-00148823","MD","NEW","2015-02-26T12:22:47.000","21216",-76.669532,39.309334
"225 N PACA ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-25T11:28:30.000","2015-03-11T11:28:30.000","DOWNTOWN","15-00144862","MD","NEW","2015-02-25T11:28:30.000","21201",-76.6224478,39.2919293
"MARYLAND AVE &W MOUNT ROYAL AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-23T16:33:01.000","2015-03-09T16:33:01.000","MID-TOWN BELVEDERE","15-00137989","MD","NEW","2015-02-23T16:33:01.000","21201",-7.6701254,4.6207742
"UMBRA ST & HUDSON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-23T13:55:33.000","2015-03-09T13:55:33.000","PULASKI INDUSTRIAL AREA","15-00136652","MD","NEW","2015-02-23T13:55:33.000","21224",-76.5502036,39.285242
"W NORTHERN PKWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-23T11:06:18.000","2015-03-09T11:06:18.000","COLDSPRING","15-00135227","MD","NEW","2015-02-23T11:06:18.000","21209",-76.6656161,39.3557104
"HUDSON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-23T11:01:16.000","2015-03-09T11:01:16.000","CANTON","15-00135204","MD","NEW","2015-02-23T11:01:16.000","21224",-76.5570228,39.2828189
"3400  REISTERSTOWN RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-23T09:57:43.000","2015-03-09T09:57:43.000","PARK CIRCLE","15-00135049","MD","NEW","2015-02-23T09:57:43.000","21215",-76.658513,39.3265029
"BOSTON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-23T09:54:03.000","2015-03-09T09:54:03.000","GRACELAND PARK","15-00135044","MD","NEW","2015-02-23T09:54:03.000","21224",-76.5607503,39.2772563
"500 E 25TH ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-23T09:49:56.000","2015-03-09T09:49:56.000","BETTER WAVERLY","15-00135035","MD","NEW","2015-02-23T09:49:56.000","21218",-76.6090045,39.3181547
"1100  HARFORD AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-19T22:37:06.000","2015-03-05T22:37:06.000","JOHNSTON SQUARE","15-00124545","MD","NEW","2015-02-19T22:37:06.000","21202",-76.602714,39.3031986
"3800 E BIDDLE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-19T11:30:59.000","2015-03-05T11:30:59.000","ORANGEVILLE","15-00121404","MD","NEW","2015-02-19T11:30:59.000","21213",-76.566248,39.3065039
"1  SAINT PAUL ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-19T11:25:30.000","2015-03-05T11:25:30.000","DOWNTOWN","15-00121366","MD","NEW","2015-02-19T11:25:30.000","21202",-76.6137867,39.2895835
"100 S CATHERINE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-19T10:23:49.000","2015-03-05T10:23:49.000","SHIPLEY HILL","15-00121111","MD","NEW","2015-02-19T10:23:49.000","21223",-76.656319,39.285437
"SAINT PAUL ST &E BALTIMORE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-18T19:12:33.000","2015-03-04T19:12:33.000","DOWNTOWN","15-00120132","MD","NEW","2015-02-18T19:12:33.000","21202",-90.741793,38.8614405
"0  THE ALAMEDA","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-18T11:19:27.000","2015-03-04T11:19:27.000","IDLEWOOD","15-00117038","MD","NEW","2015-02-18T11:19:27.000","21239",-76.5994141,39.3469656
"4900  ERDMAN AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-18T11:14:27.000","2015-03-04T11:14:27.000","ARMISTEAD GARDENS","15-00117001","MD","NEW","2015-02-18T11:14:27.000","21205",-76.5586509,39.3065585
"4400  KATHLAND AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-18T11:10:23.000","2015-03-04T11:10:23.000","HOWARD PARK","15-00116981","MD","NEW","2015-02-18T11:10:23.000","21207",-76.693127,39.326929
"4400  CHERRY BLOSSOM PL","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-18T11:06:23.000","2015-03-04T11:06:23.000","CLAREMONT-FREEDOM","15-00116946","MD","NEW","2015-02-18T11:06:23.000","21213",-76.5608779,39.3113668
"ERDMAN AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-18T10:59:54.000","2015-03-04T10:59:54.000","BELAIR-EDISON","15-00116895","MD","NEW","2015-02-18T10:59:54.000","21213",-76.5622974,39.3091272
"S CATON AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-18T10:54:25.000","2015-03-04T10:54:25.000","MORRELL PARK","15-00116856","MD","NEW","2015-02-18T10:54:25.000","21230",-76.672709,39.2838576
"6100  QUARANTINE RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-14T14:38:48.000","2015-02-28T14:38:48.000","HAWKINS POINT","15-00106666","MD","NEW","2015-02-14T14:38:48.000","21226",-76.5591011,39.2074434
"WILKENS AVE &S CATON AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-13T13:30:32.000","2015-02-27T13:30:32.000","MORRELL PARK","15-00104491","MD","NEW","2015-02-13T13:30:32.000","21229",-76.6587005,39.2780873
"1500  EDISON HWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-13T11:15:39.000","2015-02-27T11:15:39.000","BEREA","15-00103730","MD","NEW","2015-02-13T11:15:39.000","21213",-76.57329,39.308422
"4402  NORWOOD RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-12T11:37:31.000","2015-02-26T11:37:31.000","GUILFORD","15-00100682","MD","NEW","2015-02-12T11:37:31.000","21218",-76.612985,39.343827
"2200  SAINT LO DR","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-12T11:32:10.000","2015-02-26T11:32:10.000","CLIFTON PARK","15-00100651","MD","NEW","2015-02-12T11:32:10.000","21213",-76.5871623,39.3187818
"300  MARYDELL RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-10T15:00:27.000","2015-02-24T15:00:27.000","IRVINGTON","15-00095025","MD","NEW","2015-02-10T15:00:27.000","21229",-76.6897009,39.2813835
"322 S SMALLWOOD ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-11T16:32:33.000","2015-02-25T16:32:33.000","CARROLLTON RIDGE","15-00099253","MD","NEW","2015-02-11T16:32:33.000","21223",-76.651449,39.283588
"1825  EDISON HWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-11T12:51:42.000","2015-02-25T12:51:42.000","ORANGEVILLE INDUSTRIAL AREA","15-00097982","MD","NEW","2015-02-11T12:51:42.000","21213",-76.572309,39.312828
"200 E CENTRE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-10T10:13:14.000","2015-02-24T10:13:14.000","MOUNT VERNON","15-00093876","MD","NEW","2015-02-10T10:13:14.000","21202",-76.6128056,39.2964671
"2331 N FULTON AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-06T12:54:03.000","2015-02-20T12:54:03.000","PENN NORTH","15-00086633","MD","NEW","2015-02-06T12:54:03.000","21217",-76.6435764,39.3152074
"400 E PATAPSCO AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-06T13:01:48.000","2015-02-20T13:01:48.000","BROOKLYN","15-00086687","MD","NEW","2015-02-06T13:01:48.000","21225",-76.605118,39.237421
"2331 N FULTON AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-06T12:57:40.000","2015-02-20T12:57:40.000","PENN NORTH","15-00086668","MD","NEW","2015-02-06T12:57:40.000","21217",-76.6435764,39.3152074
"W EAGER ST & CATHEDRAL ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-02-05T19:42:58.000","2015-02-19T19:42:58.000","MID-TOWN BELVEDERE","15-00085351","MD","NEW","2015-02-05T19:42:58.000","21201",-76.6173531,39.3009572
