"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","lon","lat"
"1200 N FULTON AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-05T14:08:33.000","2014-09-19T14:08:33.000","SANDTOWN-WINCHESTER","14-00669777","MD","NEW","2014-09-05T14:08:33.000","21217",-76.6462493,39.302179
"S PACA ST &W PRATT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-05T13:53:52.000","2014-09-19T13:53:52.000","INNER HARBOR","14-00669708","MD","NEW","2014-09-05T13:53:52.000","21201",-76.624262,39.2832643
"200 S PACA ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-03T15:47:59.000","2014-09-17T15:47:59.000","INNER HARBOR","14-00662940","MD","NEW","2014-09-03T15:47:59.000","21201",-76.6221521,39.2856434
"2900  BOSTON ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-04T10:55:59.000","2014-09-18T10:55:59.000","CANTON","14-00665182","MD","NEW","2014-09-04T10:55:59.000","21224",-76.5752745,39.2782807
"700  PRESIDENT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-03T15:43:24.000","2014-09-17T15:43:24.000","INNER HARBOR","14-00662911","MD","NEW","2014-09-03T15:43:24.000","21202",-76.6015033,39.2830033
"700  PRESIDENT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T21:33:07.000","2014-09-16T21:33:07.000","INNER HARBOR","14-00660604","MD","NEW","2014-09-02T21:33:07.000","21202",-76.6015033,39.2830033
"E FAYETTE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T14:50:56.000","2014-09-16T14:50:56.000","DOWNTOWN","14-00659014","MD","NEW","2014-09-02T14:50:56.000","21202",-76.5910156,39.2940609
"500 N FRANKLINTOWN RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T15:10:35.000","2014-09-16T15:10:35.000","ROSEMONT HOMEOWNERS/TENANTS","14-00659098","MD","NEW","2014-09-02T15:10:35.000","21223",-76.6624617,39.2932297
"240 N CALVERTON RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T14:55:42.000","2014-09-16T14:55:42.000","PENROSE/FAYETTE STREET OUTREACH","14-00659033","MD","NEW","2014-09-02T14:55:42.000","21223",-76.659561,39.291344
"1800  BAKER ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T13:01:19.000","2014-09-16T13:01:19.000","SANDTOWN-WINCHESTER","14-00658335","MD","NEW","2014-09-02T13:01:19.000","21217",-76.6473005,39.3068032
"EAST DR","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T12:57:22.000","2014-09-16T12:57:22.000","DRUID HILL PARK","14-00658305","MD","NEW","2014-09-02T12:57:22.000","21217",-76.638852,39.3200863
"1800  SAINT PAUL ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T12:51:37.000","2014-09-16T12:51:37.000","CHARLES NORTH","14-00658263","MD","NEW","2014-09-02T12:51:37.000","21202",-76.61516,39.3099599
"4410  LEWIN AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T12:45:37.000","2014-09-16T12:45:37.000","DOLFIELD","14-00658229","MD","NEW","2014-09-02T12:45:37.000","21215",-76.679033,39.339478
"6220  TRAMORE RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T12:41:30.000","2014-09-16T12:41:30.000","HARFORD-ECHODALE/PERRING PARKWAY","14-00658204","MD","NEW","2014-09-02T12:41:30.000","21214",-76.567128,39.361722
"LEAKIN ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-28T15:16:34.000","2014-09-11T15:16:34.000","CANTON","14-00649838","MD","NEW","2014-08-28T15:16:34.000","21224",NA,NA
"4100  PARK HEIGHTS AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-27T17:26:01.000","2014-09-10T17:26:01.000","CENTRAL PARK HEIGHTS","14-00646886","MD","NEW","2014-08-27T17:26:01.000","21215",-76.6639129,39.335804
"800  WILLIAM ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-26T17:56:03.000","2014-09-09T17:56:03.000","FEDERAL HILL","14-00643746","MD","NEW","2014-08-26T17:56:03.000","21230",NA,NA
"200 N GREENE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-21T10:50:55.000","2014-09-04T10:50:55.000","DOWNTOWN","14-00628703","MD","NEW","2014-08-21T10:50:55.000","21201",-76.623818,39.2913882
"200 N CALVERT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-21T10:43:33.000","2014-09-04T10:43:33.000","DOWNTOWN","14-00628686","MD","NEW","2014-08-21T10:43:33.000","21202",-76.612473,39.2912801
"115  KANE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-21T10:36:43.000","2014-09-04T10:36:43.000","PULASKI INDUSTRIAL AREA","14-00628676","MD","NEW","2014-08-21T10:36:43.000","21224",-76.533138,39.2951633
"1300 N MONROE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-21T10:18:48.000","2014-09-04T10:18:48.000","BRIDGEVIEW/GREENLAWN","14-00628642","MD","NEW","2014-08-21T10:18:48.000","21217",-76.6477013,39.3024817
"LIGHT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-20T13:03:12.000","2014-09-03T13:03:12.000","DOWNTOWN","14-00626026","MD","NEW","2014-08-20T13:03:12.000","21202",-76.6125962,39.2785869
"1800 N FULTON AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-20T14:12:03.000","2014-09-03T14:12:03.000","SANDTOWN-WINCHESTER","14-00626437","MD","NEW","2014-08-20T14:12:03.000","21217",-76.6467119,39.308947
"W FRANKLIN ST &N FRANKLINTOWN RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T14:16:08.000","2014-08-29T14:16:08.000","ROSEMONT HOMEOWNERS/TENANTS","14-00613288","MD","NEW","2014-08-15T14:16:08.000","21223",-76.6405763,39.2940979
"521  FULTON MOUNT","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T11:22:41.000","2014-08-29T11:22:41.000","NEW SOUTHWEST/MOUNT CLARE","14-00612435","MD","NEW","2014-08-15T11:22:41.000","21223",-76.6121893,39.2903848
"807  MELVILLE AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T11:14:00.000","2014-08-29T11:14:00.000","WAVERLY","14-00612385","MD","NEW","2014-08-15T11:14:00.000","21218",-76.604132,39.331149
"YALE AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T11:09:10.000","2014-08-29T11:09:10.000","YALE HEIGHTS","14-00612364","MD","NEW","2014-08-15T11:09:10.000","21229",-76.6876343,39.2758582
"PATAPSCO AVE","BALTIMORE COUNTY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T11:02:55.000","2014-08-29T11:02:55.000","LAKELAND","14-00612342","MD","NEW","2014-08-15T11:02:55.000",NA,-76.644183,39.2510515
"1800  GREENMOUNT AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-11T00:11:16.000","2014-08-25T00:11:16.000","GREENMOUNT WEST","14-00597414","MD","NEW","2014-08-11T00:11:16.000","21202",-76.6094908,39.3113376
"210  GUILFORD AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-09T23:23:36.000","2014-08-23T23:23:36.000","DOWNTOWN","14-00596510","MD","NEW","2014-08-09T23:23:36.000","21202",-76.611566,39.291834
"300 W REDWOOD ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-08T17:50:38.000","2014-08-22T17:50:38.000","DOWNTOWN","14-00594411","MD","NEW","2014-08-08T17:50:38.000","21201",-76.6201307,39.2886964
"E SARATOGA ST & GUILFORD AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-06T19:10:53.000","2014-08-20T19:10:53.000","DOWNTOWN","14-00587104","MD","NEW","2014-08-06T19:10:53.000","21202",-111.7557294,33.339298
"200 S BOND ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-23T11:11:56.000","2015-08-06T11:11:56.000","PERKINS HOMES","15-00580339","MD","NEW","2015-07-23T11:11:56.000","21231",-76.5956296,39.2891171
"N HOWARD ST & W 27TH ST, BALTIMORE, MD,",NA,"FICIMOVA","FIN-City Motor Vehicle Accident","2015-06-25T17:40:33.000","2015-07-09T17:40:33.000","REMINGTON","15-00498994","MD","NEW","2015-06-25T17:40:33.000",NA,-82.1996942,35.180609
"400 E PATAPSCO AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-29T17:38:07.000","2015-06-12T17:38:07.000","BROOKLYN","15-00421086","MD","NEW","2015-05-29T17:38:07.000","21225",-76.605118,39.237421
"1300 W FRANKLIN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-07T18:35:16.000","2015-07-21T18:35:16.000","HARLEM PARK","15-00532369","MD","NEW","2015-07-07T18:35:16.000","21223",-76.6384402,39.2942
"2814 W COLD SPRING LN","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T10:14:14.000","2015-07-15T10:14:14.000","TOWANDA-GRANTLEY","15-00514963","MD","NEW","2015-07-01T10:14:14.000","21215",-76.669304,39.338598
"2436 N CHARLES ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-16T15:37:16.000","2015-07-30T15:37:16.000","CHARLES VILLAGE","15-00561309","MD","NEW","2015-07-16T15:37:16.000","21218",-76.617249,39.3173913
"GWYNNS FALLS PKWY & REISTERSTOWN RD, BAL",NA,"FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-28T19:09:52.000","2015-08-11T19:09:52.000","PARKVIEW/WOODBROOK","15-00597778","MD","NEW","2015-07-28T19:09:52.000",NA,-76.6651752,39.3146693
"2340  BOSTON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-08T11:14:12.000","2015-07-22T11:14:12.000","CANTON","15-00533959","MD","NEW","2015-07-08T11:14:12.000","21224",-76.5836908,39.2827122
"4236  SHELDON AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-23T11:17:04.000","2015-08-06T11:17:04.000","BELAIR-EDISON","15-00580361","MD","NEW","2015-07-23T11:17:04.000","21206",-76.5637189,39.3281608
"2800  HOLLINS FERRY RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-07T18:45:32.000","2015-07-21T18:45:32.000","LAKELAND","15-00532405","MD","NEW","2015-07-07T18:45:32.000","21230",-76.645073,39.257533
"E FAYETTE ST & N CURLEY ST, BALTIMORE, M",NA,"FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-07T10:19:04.000","2015-07-21T10:19:04.000","ELLWOOD PARK/MONUMENT","15-00529964","MD","NEW","2015-07-07T10:19:04.000",NA,-79.722638,39.8973136
"200 S BOND ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-22T13:09:09.000","2015-08-05T13:09:09.000","PERKINS HOMES","15-00577489","MD","NEW","2015-07-22T13:09:09.000","21231",-76.5956296,39.2891171
"E 33RD ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-26T17:28:16.000","2015-06-09T17:28:16.000","CHARLES VILLAGE","15-00409055","MD","NEW","2015-05-26T17:28:16.000","21218",-76.6029508,39.3284955
"515 S BROADWAY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-06-09T15:49:39.000","2015-06-23T15:49:39.000","FELLS POINT","15-00448638","MD","NEW","2015-06-09T15:49:39.000","21231",-76.593026,39.285176
"1800  RUTLAND AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-23T16:56:58.000","2015-08-06T16:56:58.000","BROADWAY EAST","15-00582557","MD","NEW","2015-07-23T16:56:58.000","21213",-76.593315,39.311043
"6 W MOUNT VERNON PL","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-06T13:04:06.000","2015-07-20T13:04:06.000","MOUNT VERNON","15-00527406","MD","NEW","2015-07-06T13:04:06.000","21201",-76.6160007,39.2977402
"1700 N WOLFE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T10:50:57.000","2015-07-15T10:50:57.000","BROADWAY EAST","15-00515153","MD","NEW","2015-07-01T10:50:57.000","21213",-76.59184,39.3098249
"5300  HAMLET AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T10:09:11.000","2015-07-15T10:09:11.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00514955","MD","NEW","2015-07-01T10:09:11.000","21214",-76.567578,39.353533
"2500  GREENMOUNT AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-06T13:00:21.000","2015-07-20T13:00:21.000","HARWOOD","15-00527384","MD","NEW","2015-07-06T13:00:21.000","21218",-76.6098265,39.3183327
"3301  HAMILTON AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-07T18:41:35.000","2015-07-21T18:41:35.000","WALTHERSON","15-00532389","MD","NEW","2015-07-07T18:41:35.000","21214",-76.558373,39.348327
"904 S CAREY ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-14T16:00:00.000","2015-05-28T16:00:00.000","WASHINGTON VILLAGE","15-00379076","MD","NEW","2015-05-14T16:00:00.000","21223",-76.637308,39.281877
"SAINT PAUL ST & E FAYETTE ST, BALTIMORE,",NA,"FICIMOVA","FIN-City Motor Vehicle Accident","2015-06-24T15:52:57.000","2015-07-08T15:52:57.000","DOWNTOWN","15-00493455","MD","NEW","2015-06-24T15:52:57.000",NA,-90.741793,38.8614405
"1441 S CLINTON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-08T12:48:52.000","2015-07-22T12:48:52.000","CANTON INDUSTRIAL AREA","15-00534517","MD","NEW","2015-07-08T12:48:52.000","21224",-76.5692938,39.276366
"718 E 33RD ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-29T17:41:07.000","2015-06-12T17:41:07.000","WAVERLY","15-00421096","MD","NEW","2015-05-29T17:41:07.000","21218",-76.6054825,39.328672
"3655  WABASH AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-08T13:09:11.000","2015-07-22T13:09:11.000","ASHBURTON","15-00534621","MD","NEW","2015-07-08T13:09:11.000","21215",-76.664659,39.326968
"6700  PULASKI HWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-29T11:55:23.000","2015-06-12T11:55:23.000","PULASKI INDUSTRIAL AREA","15-00419313","MD","NEW","2015-05-29T11:55:23.000","21237",-76.5375416,39.3059536
"3800  CANTERBURY RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-23T11:08:36.000","2015-08-06T11:08:36.000","JOHNS HOPKINS HOMEWOOD","15-00580330","MD","NEW","2015-07-23T11:08:36.000","21218",-76.620538,39.3351825
"300 E LEXINGTON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-13T13:46:05.000","2015-07-27T13:46:05.000","DOWNTOWN","15-00548787","MD","NEW","2015-07-13T13:46:05.000","21202",-76.6104264,39.2913032
"2101  HARFORD RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-07T18:38:33.000","2015-07-21T18:38:33.000","DARLEY PARK","15-00532381","MD","NEW","2015-07-07T18:38:33.000","21213",-76.5974571,39.3144096
"3300  KESWICK RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-06-11T14:33:00.000","2015-06-25T14:33:00.000","HAMPDEN","15-00454924","MD","NEW","2015-06-11T14:33:00.000","21211",-76.628047,39.327221
"700  EASTERN AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T10:30:47.000","2015-07-15T10:30:47.000","INNER HARBOR","15-00515097","MD","NEW","2015-07-01T10:30:47.000","21202",-76.6039335,39.2851439
"29 S MONASTERY AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-13T13:42:01.000","2015-07-27T13:42:01.000","SAINT JOSEPHS","15-00548769","MD","NEW","2015-07-13T13:42:01.000","21229",-76.67843,39.285934
"1300 E 33RD ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-26T15:45:02.000","2015-06-09T15:45:02.000","EDNOR GARDENS-LAKESIDE","15-00408419","MD","NEW","2015-05-26T15:45:02.000","21218",-76.597662,39.328732
"215  KEY HWY","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T11:15:50.000","2015-07-15T11:15:50.000","FEDERAL HILL","15-00515243","MD","NEW","2015-07-01T11:15:50.000","21202",-76.610254,39.2804505
"617  ALLENDALE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T11:10:45.000","2015-07-15T11:10:45.000","EDMONDSON VILLAGE","15-00515228","MD","NEW","2015-07-01T11:10:45.000","21229",-76.678189,39.294828
"2515 E FAYETTE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-02T15:46:16.000","2015-07-16T15:46:16.000","BALTIMORE-LINWOOD","15-00520168","MD","NEW","2015-07-02T15:46:16.000","21224",-76.581115,39.294246
"2900 E FAYETTE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-02T13:50:19.000","2015-07-16T13:50:19.000","ELLWOOD PARK/MONUMENT","15-00519487","MD","NEW","2015-07-02T13:50:19.000","21224",-76.5758059,39.2948133
"5301  HAMLET AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-06-17T15:47:54.000","2015-07-01T15:47:54.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00472670","MD","NEW","2015-06-17T15:47:54.000","21214",-76.567195,39.35316
"1001  EAST DR","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T11:07:21.000","2015-07-15T11:07:21.000","DRUID HILL PARK","15-00515217","MD","NEW","2015-07-01T11:07:21.000","21211",-76.6294664,39.3491718
"535 N DECKER AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T11:52:44.000","2015-07-15T11:52:44.000","ELLWOOD PARK/MONUMENT","15-00515481","MD","NEW","2015-07-01T11:52:44.000","21205",-76.5741929,39.2977133
"2400 N CHARLES ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-16T13:39:55.000","2015-07-30T13:39:55.000","CHARLES VILLAGE","15-00560572","MD","NEW","2015-07-16T13:39:55.000","21218",-76.6169039,39.3163859
"3400  REISTERSTOWN RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T10:27:30.000","2015-07-15T10:27:30.000","PARK CIRCLE","15-00515086","MD","NEW","2015-07-01T10:27:30.000","21215",-76.658513,39.3265029
"600 E PRESTON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-28T15:54:02.000","2015-08-11T15:54:02.000","JOHNSTON SQUARE","15-00596964","MD","NEW","2015-07-28T15:54:02.000","21202",-76.6087806,39.3048244
"2500 E FAYETTE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-02T15:44:52.000","2015-07-16T15:44:52.000","MCELDERRY PARK","15-00520162","MD","NEW","2015-07-02T15:44:52.000","21224",-76.581884,39.294612
"3013  EDMONDSON AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-01T10:45:47.000","2015-07-15T10:45:47.000","PENROSE/FAYETTE STREET OUTREACH","15-00515142","MD","NEW","2015-07-01T10:45:47.000","21223",-76.6686332,39.2941984
"400 E NORTH AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-22T11:40:56.000","2015-06-05T11:40:56.000","BARCLAY","15-00401008","MD","OPEN","2015-06-10T17:02:18.000","21202",-76.6108626,39.3114082
"5700  DOWNING PL","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-02T14:13:21.000","2015-07-16T14:13:21.000","BELLONA-GITTINGS","15-00519623","MD","NEW","2015-07-02T14:13:21.000","21212",-76.622687,39.3670029
"1082 N WOLFE ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-08T12:18:20.000","2015-07-22T12:18:20.000","MIDDLE EAST","15-00534326","MD","NEW","2015-07-08T12:18:20.000","21205",-76.5911939,39.3031355
"2000 S HANOVER ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-06-10T13:51:34.000","2015-06-24T13:51:34.000","PORT COVINGTON","15-00451874","MD","NEW","2015-06-10T13:51:34.000","21230",-76.6148482,39.2662971
"5700  PARK HEIGHTS AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-23T18:06:15.000","2015-08-06T18:06:15.000","GLEN","15-00582946","MD","NEW","2015-07-23T18:06:15.000","21215",-76.6864838,39.3530484
"4144  PARKSIDE DR","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-15T14:58:55.000","2015-07-29T14:58:55.000","BELAIR-PARKSIDE","15-00557193","MD","NEW","2015-07-15T14:58:55.000","21206",-76.566304,39.328301
"300 W MADISON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-20T14:34:23.000","2015-08-03T14:34:23.000","MOUNT VERNON","15-00570218","MD","NEW","2015-07-20T14:34:23.000","21201",-76.620202,39.298433
"1901 E 32ND ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-28T11:54:21.000","2015-06-11T11:54:21.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00415216","MD","NEW","2015-05-28T11:54:21.000","21218",-76.589145,39.32702
"600  CHERRY HILL RD","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-06-09T21:47:12.000","2015-06-23T21:47:12.000","CHERRY HILL","15-00450058","MD","NEW","2015-06-09T21:47:12.000","21225",-76.6222864,39.250427
"1400 S CLINTON ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-07T17:11:47.000","2015-07-21T17:11:47.000","CANTON INDUSTRIAL AREA","15-00531993","MD","NEW","2015-07-07T17:11:47.000","21224",-76.569369,39.2769395
"I 83 N &W 28TH ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-22T18:54:20.000","2015-06-05T18:54:20.000","DRUID HILL PARK","15-00402289","MD","NEW","2015-05-22T18:54:20.000","21217",-100.7876126,50.2258272
"3600  WABASH AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-07T20:34:23.000","2015-07-21T20:34:23.000","ASHBURTON","15-00532736","MD","NEW","2015-07-07T20:34:23.000","21215",-76.665526,39.325586
"1000  FRANKFURST AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-02T11:34:37.000","2015-07-16T11:34:37.000","FAIRFIELD AREA","15-00518765","MD","NEW","2015-07-02T11:34:37.000","21226",-76.5943907,39.2429796
"2600 E OLIVER ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-13T13:49:19.000","2015-07-27T13:49:19.000","BEREA","15-00548820","MD","NEW","2015-07-13T13:49:19.000","21213",-76.581311,39.3082009
"1 E MOUNT VERNON PL","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-03T00:51:32.000","2015-07-17T00:51:32.000","MOUNT VERNON","15-00522357","MD","NEW","2015-07-03T00:51:32.000","21202",-76.6152034,39.2971828
