"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-30T21:23:36.000","2015-09-08T21:23:36.000","MORRELL PARK","15-00605077","MD","CLOSED","2015-07-31T12:05:57.000",NA,NA,NA,NA,NA
NA,"501 N HIGHLAND AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-31T12:56:26.000","2015-07-10T12:56:26.000","ELLWOOD PARK/MONUMENT","15-00423987","MD","CLOSED","2015-06-02T12:29:56.000",NA,"21205",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-29T14:47:38.000","2015-08-08T14:47:38.000","MORRELL PARK","15-00507853","MD","CLOSED","2015-06-30T12:45:37.000",NA,NA,NA,NA,NA
NA,"3731  REISTERSTOWN RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-24T16:54:18.000","2015-09-02T16:54:18.000","PARK CIRCLE","15-00586786","MD","CLOSED","2015-07-27T12:04:37.000",NA,"21215",NA,NA,NA
NA,"500  RAPPOLLA ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-01T16:18:16.000","2015-07-11T16:18:16.000","GREEKTOWN","15-00426855","MD","CLOSED","2015-07-08T18:03:03.000",NA,"21224",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-08-02T14:56:52.000","2015-09-11T14:56:52.000","MORRELL PARK","15-00609944","MD","CLOSED","2015-08-03T12:23:07.000",NA,NA,NA,NA,NA
NA,"227 S BETHEL ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-24T13:19:38.000","2015-08-03T13:19:38.000","FELLS POINT","15-00492370","MD","CLOSED","2015-06-26T18:03:02.000",NA,"21231",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-11T11:48:59.000","2015-08-20T11:48:59.000","MORRELL PARK","15-00545319","MD","CLOSED","2015-07-13T12:08:08.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","N FULTON AVE & BAKER ST, BALTIMORE, MD,","baltimore","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-24T22:08:44.000","2015-08-03T22:08:44.000","SANDTOWN-WINCHESTER","15-00495596","MD","CLOSED","2015-06-25T17:38:12.000","2015-06-25T17:37:00.000","21217",NA,NA,NA
NA,"BYRD ST &E RANDALL ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-22T23:58:00.000","2015-07-01T23:58:00.000","RIVERSIDE","15-00402834","MD","CLOSED","2015-06-25T12:26:14.000",NA,"21230",NA,NA,NA
"Dispatch lighting Inspector","1000 N BRUCE ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-17T12:36:44.000","2015-08-26T12:36:44.000","SANDTOWN-WINCHESTER","15-00563966","MD","O-PENDNG","2015-07-21T14:00:02.000","2015-07-17T12:42:00.000","21217",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-26T23:29:50.000","2015-08-05T23:29:50.000","MORRELL PARK","15-00503086","MD","CLOSED","2015-06-29T11:33:19.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-07T01:05:48.000","2015-08-16T01:05:48.000","MORRELL PARK","15-00529842","MD","CLOSED","2015-07-07T12:01:56.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-11T09:06:11.000","2015-08-20T09:06:11.000","MORRELL PARK","15-00544887","MD","CLOSED","2015-07-13T12:07:01.000",NA,NA,NA,NA,NA
NA,"1317  PONTIAC AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-17T14:30:55.000","2015-08-26T14:30:55.000","CURTIS BAY","15-00564573","MD","O-PENDNG","2015-07-21T12:25:52.000",NA,"21225",NA,NA,NA
"Dispatch lighting Inspector","1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-23T03:59:20.000","2015-08-02T03:59:20.000","MORRELL PARK","15-00487396","MD","O-PENDNG","2015-06-29T11:40:28.000","2015-06-23T12:53:00.000",NA,NA,NA,NA
NA,"3700  SAINT PAUL ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-05T15:11:57.000","2015-06-14T15:11:57.000","GUILFORD","15-00350098","MD","CLOSED","2015-05-12T12:54:00.000",NA,"21218",NA,NA,NA
NA,"803  SHOWELL CT","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-26T18:05:04.000","2015-07-05T18:05:04.000","JOHNSTON SQUARE","15-00409247","MD","CLOSED","2015-06-01T12:29:03.000",NA,"21202",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-13T16:54:07.000","2015-08-22T16:54:07.000","MORRELL PARK","15-00549966","MD","CLOSED","2015-07-14T12:36:06.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","3727  REISTERSTOWN RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-24T12:25:59.000","2015-09-02T12:25:59.000","PARK CIRCLE","15-00585239","MD","O-PENDNG","2015-07-30T12:51:40.000","2015-07-28T11:17:00.000","21215",NA,NA,NA
"Dispatch lighting Inspector","808 N HILTON ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-25T13:55:36.000","2015-08-04T13:55:36.000","EDMONDSON VILLAGE","15-00498021","MD","O-PENDNG","2015-07-02T15:59:13.000","2015-06-26T12:02:00.000","21229",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-18T10:42:35.000","2015-08-27T10:42:35.000","MORRELL PARK","15-00566605","MD","CLOSED","2015-07-20T12:43:41.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","2344  REISTERSTOWN RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-11T23:39:07.000","2015-06-20T23:39:07.000","MONDAWMIN","15-00369275","MD","CLOSED","2015-06-02T14:05:43.000","2015-05-15T12:05:00.000","21217",NA,NA,NA
"Dispatch lighting Inspector","1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-24T19:19:27.000","2015-08-03T19:19:27.000","MORRELL PARK","15-00494807","MD","CLOSED","2015-06-25T11:55:40.000","2015-06-25T11:55:00.000",NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-27T14:34:02.000","2015-09-05T14:34:02.000","MORRELL PARK","15-00593070","MD","CLOSED","2015-07-27T17:18:05.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","7 W MELROSE AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-18T13:31:09.000","2015-07-28T13:31:09.000","THE ORCHARDS","15-00475455","MD","O-PENDNG","2015-06-24T18:23:24.000","2015-06-19T18:04:00.000","21210",NA,NA,NA
"Dispatch lighting Inspector","606 N LOUDON AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-18T12:15:34.000","2015-03-30T12:15:34.000","EDMONDSON VILLAGE","15-00117382","MD","CLOSED","2015-07-01T13:04:59.000","2015-02-18T13:21:00.000","21229",NA,NA,NA
NA,"1025 N MOUNT ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-23T18:33:18.000","2015-09-01T18:33:18.000","SANDTOWN-WINCHESTER","15-00583093","MD","O-PENDNG","2015-07-27T12:02:33.000",NA,"21217",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-29T02:11:59.000","2015-08-08T02:11:59.000","MORRELL PARK","15-00505880","MD","CLOSED","2015-06-29T11:36:07.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-26T14:14:19.000","2015-09-04T14:14:19.000","MORRELL PARK","15-00591032","MD","CLOSED","2015-07-27T11:53:32.000",NA,NA,NA,NA,NA
NA,"2457  WASHINGTON BLVD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-08-05T00:32:12.000","2015-09-14T00:32:12.000","MORRELL PARK","15-00619006","MD","DUPOPEN","2015-08-05T00:32:12.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","5201  WILTON HEIGHTS AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-08-03T16:59:24.000","2015-09-12T16:59:24.000","ARLINGTON","15-00613565","MD","OPEN","2015-08-04T11:29:47.000","2015-08-04T19:35:00.000","21215",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-08-03T09:35:26.000","2015-09-12T09:35:26.000","MORRELL PARK","15-00610441","MD","CLOSED","2015-08-03T11:20:07.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-17T01:07:32.000","2015-08-26T01:07:32.000","MORRELL PARK","15-00562875","MD","CLOSED","2015-07-17T11:57:37.000",NA,NA,NA,NA,NA
NA,"FRANKFORD AVE & SCHAUB AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-05T12:13:35.000","2015-07-15T12:13:35.000","FRANKFORD","15-00440215","MD","CLOSED","2015-06-22T14:23:06.000",NA,"21206",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-08T09:04:56.000","2015-08-17T09:04:56.000","MORRELL PARK","15-00533545","MD","CLOSED","2015-07-08T11:43:09.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-05T09:09:02.000","2015-08-14T09:09:02.000","MORRELL PARK","15-00525014","MD","CLOSED","2015-07-06T12:13:06.000",NA,NA,NA,NA,NA
NA,"1700  RIGGS AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-17T12:17:15.000","2015-08-26T12:17:15.000","SANDTOWN-WINCHESTER","15-00563868","MD","CLOSED","2015-07-17T13:26:57.000",NA,"21217",NA,NA,NA
"Dispatch lighting Inspector","4201  LINKWOOD RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-08T16:55:28.000","2015-07-18T16:55:28.000","TUSCANY-CANTERBURY","15-00444912","MD","OPEN","2015-07-31T11:27:26.000","2015-06-09T11:44:00.000","21210",NA,NA,NA
NA,"220 E 23RD ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-23T02:12:24.000","2015-07-02T02:12:24.000","BARCLAY","15-00402970","MD","CLOSED","2015-05-27T12:17:10.000",NA,"21218",NA,NA,NA
NA,"617  LENNOX ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-01T03:43:13.000","2015-08-10T03:43:13.000","RESERVOIR HILL","15-00514641","MD","CLOSED","2015-07-27T12:05:40.000",NA,"21217",NA,NA,NA
NA,"17 N LINWOOD AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-18T13:38:50.000","2015-07-28T13:38:50.000","BALTIMORE-LINWOOD","15-00475505","MD","O-PENDNG","2015-06-24T18:20:10.000",NA,"21224",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-30T01:21:14.000","2015-08-09T01:21:14.000","MORRELL PARK","15-00510920","MD","CLOSED","2015-06-30T12:46:41.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-05T23:53:44.000","2015-08-14T23:53:44.000","MORRELL PARK","15-00525759","MD","CLOSED","2015-07-06T12:14:14.000",NA,NA,NA,NA,NA
NA,"200  HOMEWOOD TER","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-15T15:51:26.000","2015-07-25T15:51:26.000","OAKENSHAWE","15-00464356","MD","O-PENDNG","2015-07-29T11:59:32.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","3025  WINDSOR AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-14T16:51:16.000","2015-08-23T16:51:16.000","WALBROOK","15-00554006","MD","CLOSED","2015-07-28T18:38:13.000","2015-07-28T18:37:00.000","21216",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-13T00:13:29.000","2015-08-22T00:13:29.000","MORRELL PARK","15-00547193","MD","CLOSED","2015-07-13T12:10:39.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","300 S GILMOR ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-10T18:02:25.000","2015-08-19T18:02:25.000","NEW SOUTHWEST/MOUNT CLARE","15-00543824","MD","CLOSED","2015-07-15T12:32:05.000","2015-07-15T12:31:00.000","21223",NA,NA,NA
NA,"16 N CURLEY ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-18T13:23:11.000","2015-07-28T13:23:11.000","BALTIMORE-LINWOOD","15-00475420","MD","CLOSED","2015-06-19T17:15:09.000",NA,"21224",NA,NA,NA
NA,"3703  SAINT PAUL ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-20T11:19:27.000","2015-08-29T11:19:27.000","GUILFORD","15-00569134","MD","CLOSED","2015-07-22T14:29:48.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","5411  LOTHIAN RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-18T14:46:09.000","2015-06-27T14:46:09.000","CAMERON VILLAGE","15-00388726","MD","CLOSED","2015-07-28T11:15:20.000","2015-07-28T11:13:00.000","21212","Closed",NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-25T11:42:52.000","2015-09-03T11:42:52.000","MORRELL PARK","15-00588623","MD","CLOSED","2015-07-27T11:54:53.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-30T16:00:21.000","2015-09-08T16:00:21.000","MORRELL PARK","15-00603965","MD","CLOSED","2015-07-31T12:07:16.000",NA,NA,NA,NA,NA
NA,"500 S CURLEY ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-30T17:10:26.000","2015-08-09T17:10:26.000","CANTON","15-00513355","MD","CLOSED","2015-07-07T17:09:16.000",NA,"21224",NA,NA,NA
"Dispatch lighting Inspector","1900  HOLLINS ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-25T13:35:43.000","2015-08-04T13:35:43.000","BOOTH-BOYD","15-00497912","MD","O-PENDNG","2015-07-06T12:16:16.000","2015-06-26T12:06:00.000","21223",NA,NA,NA
"Dispatch lighting Inspector","4200  ROLAND VIEW AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-13T13:13:59.000","2015-08-22T13:13:59.000","GREENSPRING","15-00548543","MD","CLOSED","2015-07-17T12:59:21.000","2015-07-17T12:15:00.000","21215",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-29T20:22:50.000","2015-09-07T20:22:50.000","MORRELL PARK","15-00601643","MD","CLOSED","2015-07-30T13:12:33.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","1000 N BRUCE-MOUNT","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-17T12:03:21.000","2015-08-26T12:03:21.000","SANDTOWN-WINCHESTER","15-00563813","MD","CLOSED","2015-07-17T12:32:13.000","2015-07-17T12:12:00.000","21217",NA,NA,NA
"Dispatch lighting Inspector","4100  GREENSPRING AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-30T14:18:26.000","2015-09-08T14:18:26.000","GREENSPRING","15-00603210","MD","O-WIP","2015-08-04T13:40:04.000","2015-08-03T19:05:00.000","21209",NA,NA,NA
NA,"5929  GLENOAK AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-25T01:07:32.000","2015-08-04T01:07:32.000","GLENHAM-BELFORD","15-00496163","MD","O-PENDNG","2015-06-25T11:39:44.000",NA,"21214",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-30T00:31:55.000","2015-09-08T00:31:55.000","MORRELL PARK","15-00602007","MD","CLOSED","2015-07-30T13:11:29.000",NA,NA,NA,NA,NA
NA,"4416  IVANHOE AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-26T00:21:04.000","2015-09-04T00:21:04.000","WILSON PARK","15-00590780","MD","O-PENDNG","2015-07-27T16:46:56.000",NA,NA,NA,NA,NA
NA,"4900  SCHAUB AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-11T14:36:54.000","2015-07-21T14:36:54.000","FRANKFORD","15-00454938","MD","O-PENDNG","2015-06-16T13:23:12.000",NA,"21206",NA,NA,NA
"Dispatch lighting Inspector","1500  NORMAL-CLIFTVIEW 2","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-29T20:07:34.000","2015-09-07T20:07:34.000","DARLEY PARK","15-00601582","MD","CLOSED","2015-08-04T11:34:12.000","2015-07-31T12:01:00.000","21213",NA,NA,NA
NA,"11 E HAMBURG ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-18T16:08:08.000","2015-07-28T16:08:08.000","FEDERAL HILL","15-00476181","MD","CLOSED","2015-07-30T12:56:58.000",NA,"21230",NA,NA,NA
NA,"402 S DALLAS ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-08-02T01:46:53.000","2015-09-11T01:46:53.000","FELLS POINT","15-00609711","MD","OPEN","2015-08-04T11:40:13.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-29T11:29:09.000","2015-09-07T11:29:09.000","MORRELL PARK","15-00598815","MD","CLOSED","2015-07-29T12:15:38.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","5104  LAUREL AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-24T14:49:27.000","2015-09-02T14:49:27.000","LEVINDALE","15-00586175","md","O-WIP","2015-08-04T11:31:29.000","2015-07-29T11:32:00.000","21215",NA,NA,NA
NA,"1500 E 33RD ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-11T11:31:46.000","2015-06-20T11:31:46.000","EDNOR GARDENS-LAKESIDE","15-00366276","MD","CLOSED","2015-05-22T12:45:14.000",NA,"21218",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-12T09:32:39.000","2015-08-21T09:32:39.000","MORRELL PARK","15-00546486","MD","CLOSED","2015-07-13T12:09:13.000",NA,NA,NA,NA,NA
NA,"201  KEY HWY","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-01T00:06:19.000","2015-08-10T00:06:19.000","FEDERAL HILL","15-00514520","MD","CLOSED","2015-07-06T12:22:28.000",NA,"21230",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-28T12:22:55.000","2015-09-06T12:22:55.000","MORRELL PARK","15-00595558","MD","CLOSED","2015-07-28T13:13:48.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-27T09:07:20.000","2015-08-06T09:07:20.000","MORRELL PARK","15-00503277","MD","CLOSED","2015-06-29T11:34:42.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-25T23:11:54.000","2015-08-04T23:11:54.000","MORRELL PARK","15-00500179","MD","CLOSED","2015-06-26T11:25:56.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","3215  BRIGHTON ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-19T13:44:10.000","2015-07-29T13:44:10.000","ROSEMONT","15-00478865","MD","CLOSED","2015-06-23T12:25:19.000","2015-06-22T11:32:00.000","21216",NA,NA,NA
"Dispatch lighting Inspector","1000 N MOUNT ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-16T16:50:41.000","2015-08-25T16:50:41.000","SANDTOWN-WINCHESTER","15-00561582","MD","O-PENDNG","2015-07-21T13:59:42.000","2015-07-17T11:38:00.000","21217",NA,NA,NA
NA,"2300  GARRISON BLVD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-08-04T17:18:31.000","2015-09-13T17:18:31.000","GARWYN OAKS","15-00617923","MD","NEW","2015-08-04T17:18:31.000",NA,"21216",NA,NA,NA
"Dispatch lighting Inspector","500  DENISON ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-21T20:31:05.000","2015-08-30T20:31:05.000","ALLENDALE","15-00575853","MD","CLOSED","2015-07-31T17:13:19.000","2015-07-22T12:01:00.000","21229",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-03T16:44:34.000","2015-08-12T16:44:34.000","MORRELL PARK","15-00523625","MD","CLOSED","2015-07-06T12:11:58.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","1700  MOSHER ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-17T12:26:19.000","2015-08-26T12:26:19.000","SANDTOWN-WINCHESTER","15-00563920","MD","CLOSED","2015-07-17T13:24:26.000","2015-07-17T12:29:00.000","21217",NA,NA,NA
"Dispatch lighting Inspector","4219  ROLAND VIEW AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-23T15:54:16.000","2015-06-02T15:54:16.000","GREENSPRING","15-00319551","MD","CLOSED","2015-05-14T12:16:42.000","2015-04-24T19:49:00.000","21215",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-07T15:47:32.000","2015-08-16T15:47:32.000","MORRELL PARK","15-00531568","MD","CLOSED","2015-07-07T17:08:09.000",NA,NA,NA,NA,NA
"Dispatch lighting Inspector","2505  WILLOW GLEN DR","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-01T12:15:05.000","2015-07-11T12:15:05.000","CHESWOLDE","15-00425300","MD","CLOSED","2015-07-28T12:57:10.000","2015-07-28T12:56:00.000","21209",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-22T14:11:34.000","2015-08-31T14:11:34.000","MORRELL PARK","15-00577865","MD","CLOSED","2015-07-23T12:23:41.000",NA,NA,NA,NA,NA
