"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Cityworks SR Comments","HARVIEW AVE & HARFORD RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-05-05T23:57:16.000","2015-05-10T23:57:16.000","NORTH HARFORD ROAD","UPDATED","15-00352074","MD","LOCKED","2015-05-06T00:05:04.000","2015-05-06T00:15:19.000","21234",NA,NA
"WO - Repair Hydrant","1710  LETITIA AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-05-04T18:14:43.000","2015-05-09T18:14:43.000","MORRELL PARK","CLOSED","15-00347697","MD","CLOSED","2015-05-11T14:27:02.000","2015-05-08T14:24:24.000","21230",NA,NA
"Cityworks SR Comments","FENWICK AVE &E NORTHERN PKWY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-26T11:36:41.000","2015-05-01T11:36:41.000","LOCH RAVEN","UPDATED","15-00325268","MD","LOCKED","2015-04-26T11:43:33.000","2015-04-26T11:53:25.000","21239",NA,NA
"Cityworks SR Comments","3200  GIBBONS AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-26T02:26:27.000","2015-05-01T02:26:27.000","WALTHERSON","UPDATED","15-00325167","MD","LOCKED","2015-04-26T02:34:21.000","2015-04-26T02:43:01.000","21214",NA,NA
"Cityworks SR Comments","1107  BRYN MAWR RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-23T13:10:00.000","2015-04-28T13:10:00.000","NORTH ROLAND PARK/POPLAR HILL","UPDATED","15-00317989","MD","LOCKED","2015-04-23T13:16:28.000","2015-04-23T13:22:00.000","21210",NA,NA
"Cityworks SR Comments","2 W MELROSE AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-21T18:24:41.000","2015-04-26T18:24:41.000","THE ORCHARDS","UPDATED","15-00312134","MD","LOCKED","2015-04-21T18:31:54.000","2015-04-21T18:39:52.000","21210",NA,NA
"Cityworks SR Comments","3611  LEO ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-21T12:29:20.000","2015-04-26T12:29:20.000","FAIRFIELD AREA","UPDATED","15-00310147","MD","LOCKED","2015-04-21T12:34:47.000","2015-04-21T12:39:25.000","21226",NA,NA
"WO - Repair Hydrant","639 E 37TH ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-16T13:38:27.000","2015-04-21T13:38:27.000","WAVERLY","CLOSED","15-00298260","MD","CLOSED","2015-04-23T18:07:22.000","2015-04-17T18:01:41.000","21218",NA,NA
"Cityworks SR Comments","HILLEN RD &E COLD SPRING LN","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-16T00:44:22.000","2015-04-21T00:44:22.000","MORGAN STATE UNIVERSITY","UPDATED","15-00297019","MD","HOLDLOCK","2015-04-21T14:12:47.000","2015-04-29T12:57:00.000","21218",NA,NA
"Cityworks SR Comments","1801  EUTAW PL","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-15T21:11:33.000","2015-04-20T21:11:33.000","BOLTON HILL","UPDATED","15-00296702","MD","LOCKED","2015-04-15T21:19:52.000","2015-04-15T21:25:12.000","21217",NA,NA
"WO - Repair Hydrant","109 E 32ND ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-15T16:37:21.000","2015-04-20T16:37:21.000","CHARLES VILLAGE","CLOSED","15-00295396","MD","CLOSED","2015-04-21T14:10:35.000","2015-04-17T14:09:52.000","21218",NA,NA
"Cityworks SR Comments","1712  WAVERLY WAY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-12T17:12:21.000","2015-04-17T17:12:21.000","LOCH RAVEN","UPDATED","15-00285024","MD","HOLDLOCK","2015-04-17T14:03:36.000","2015-04-17T14:06:34.000","21239",NA,NA
"Cityworks SR Comments","N BELNORD AVE & JEFFERSON ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-10T12:18:58.000","2015-04-15T12:18:58.000","MCELDERRY PARK","UPDATED","15-00280290","MD","CLOSED","2015-05-11T18:03:46.000","2015-05-11T18:10:42.000","21205",NA,NA
"Cityworks SR Comments","1648  WAVERLY WAY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-07T17:17:13.000","2015-04-12T17:17:13.000","LOCH RAVEN","UPDATED","15-00271295","MD","HOLDLOCK","2015-04-10T17:20:41.000","2015-04-10T17:31:34.000","21239",NA,NA
"WO - Repair Hydrant","CHRISTOPHER AVE & EDNA AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-06T21:56:03.000","2015-04-11T21:56:03.000","WESTFIELD","CLOSED","15-00269102","MD","CLOSED","2015-04-09T18:21:15.000","2015-04-08T18:06:15.000","21214",NA,NA
"Cityworks SR Comments","2701 E STRATHMORE AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-02T22:06:17.000","2015-04-07T22:06:17.000","LAURAVILLE","UPDATED","15-00261463","MD","CLOSED","2015-04-16T15:56:21.000","2015-04-16T16:05:26.000","21214",NA,NA
"Cityworks SR Comments","GWYNNS FALLS PKWY & POPLAR GROVE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-04-02T15:54:31.000","2015-04-07T15:54:31.000","HANLON-LONGWOOD","UPDATED","15-00259809","MD","CLOSED","2015-04-09T18:21:46.000","2015-04-09T18:31:03.000","21216",NA,NA
"Cityworks SR Comments","THE ALAMEDA & GITTINGS AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-30T17:19:16.000","2015-04-04T17:19:16.000","GLEN OAKS","UPDATED","15-00249992","MD","CLOSED","2015-04-07T18:12:30.000","2015-04-07T20:02:32.000","21239",NA,NA
"Cityworks SR Comments","LEITH WALK & GITTINGS AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-30T17:17:26.000","2015-04-04T17:17:26.000","IDLEWOOD","UPDATED","15-00249974","MD","CLOSED","2015-04-15T17:47:47.000","2015-04-10T17:21:18.000","21239",NA,NA
"Cityworks SR Comments","1000  MARLAU DR","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-29T22:00:56.000","2015-04-03T22:00:56.000","CHINQUAPIN PARK-BELVEDERE","UPDATED","15-00247510","MD","CLOSED","2015-04-07T18:34:25.000","2015-04-07T20:02:32.000","21212",NA,NA
NA,"1023 W FAYETTE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-24T17:18:37.000","2015-03-29T17:18:37.000","POPPLETON",NA,"15-00233028","MD","DUPCLOSD","2015-03-24T17:18:37.000",NA,"21223",NA,NA
"WO - Repair Hydrant","1033 W FAYETTE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-24T17:13:25.000","2015-03-29T17:13:25.000","POPPLETON","CLOSED","15-00233001","MD","CLOSED","2015-03-26T13:43:04.000","2015-03-25T13:37:17.000","21223",NA,NA
"Cityworks SR Comments","AMOS AVE & OAKLEAF AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-23T13:34:37.000","2015-03-28T13:34:37.000","REISTERSTOWN STATION","UPDATED","15-00228172","MD","CLOSED","2015-04-22T17:54:19.000","2015-03-27T20:27:15.000","21215",NA,NA
"Cityworks SR Comments","E 28TH ST & GUILFORD AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-22T15:04:20.000","2015-03-27T15:04:20.000","CHARLES VILLAGE","UPDATED","15-00226693","MD","CLOSED","2015-04-07T16:14:50.000","2015-04-07T20:02:32.000","21218",NA,NA
"Cityworks SR Comments","2500  LOCH RAVEN RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-19T11:19:58.000","2015-03-24T11:19:58.000","BETTER WAVERLY","UPDATED","15-00217765","MD","CLOSED","2015-03-25T16:55:00.000","2015-03-25T17:56:38.000","21218",NA,NA
"Cityworks SR Comments","HARWOOD AVE & CHINQUAPIN PKWY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-17T14:01:03.000","2015-03-22T14:01:03.000","WOODBOURNE HEIGHTS","UPDATED","15-00211137","MD","CLOSED","2015-04-07T17:50:01.000","2015-04-07T20:02:32.000","21239",NA,NA
"WO - Repair Hydrant","2300 W FAYETTE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-17T13:51:55.000","2015-03-22T13:51:55.000","PENROSE/FAYETTE STREET OUTREACH","CLOSED","15-00211045","MD","CLOSED","2015-03-23T16:15:55.000","2015-03-22T16:10:57.000","21223",NA,NA
"WO - Repair Hydrant","3101 E BALTIMORE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-16T22:18:23.000","2015-03-21T22:18:23.000","BALTIMORE-LINWOOD","CLOSED","15-00209137","MD","CLOSED","2015-03-24T18:03:24.000","2015-03-23T18:00:13.000","21224",NA,NA
"Cityworks SR Comments","244 S PATTERSON PARK AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-16T18:44:22.000","2015-03-21T18:44:22.000","UPPER FELLS POINT","UPDATED","15-00208124","MD","CLOSED","2015-04-09T18:39:55.000","2015-04-09T18:51:05.000","21231",NA,NA
"Cityworks SR Comments","4515  FRANKFORD AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-13T20:12:56.000","2015-03-18T20:12:56.000","FRANKFORD","UPDATED","15-00201819","MD","CLOSED","2015-03-15T16:49:30.000","2015-03-15T19:59:18.000","21206",NA,NA
"WO - Repair Hydrant","3909  JUNIPER RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-13T13:53:17.000","2015-03-18T13:53:17.000","GUILFORD","CLOSED","15-00199596","MD","CLOSED","2015-03-16T15:55:28.000","2015-03-15T15:51:34.000","21218",NA,NA
"Cityworks SR Comments","2609  GAGE CT","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-12T18:09:46.000","2015-03-17T18:09:46.000","CHESWOLDE","UPDATED","15-00196353","MD","CLOSED","2015-04-23T18:50:31.000","2015-04-23T19:01:11.000","21209",NA,NA
"Cityworks SR Comments","400 E PRATT ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-11T15:25:04.000","2015-03-16T15:25:04.000","INNER HARBOR","UPDATED","15-00190920","MD","HOLDLOCK","2015-04-15T11:52:51.000","2015-04-07T15:31:00.000","21202",NA,NA
"WO - Repair Hydrant","335 S EAST AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-09T17:04:02.000","2015-03-14T17:04:02.000","HIGHLANDTOWN","CLOSED","15-00183110","MD","CLOSED","2015-03-24T18:58:54.000","2015-03-23T18:55:09.000","21224",NA,NA
"WO - Repair Hydrant","2200 N CALVERT ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-08T04:58:42.000","2015-03-13T03:58:42.000","BARCLAY","CLOSED","15-00178551","MD","CLOSED","2015-03-13T17:59:15.000","2015-03-12T17:55:07.000","21218",NA,NA
"Cityworks SR Comments","701 W UNIVERSITY PKWY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-04T17:34:26.000","2015-03-09T17:34:26.000","ROLAND PARK","UPDATED","15-00167326","MD","CLOSED","2015-04-23T18:54:52.000","2015-04-23T19:01:11.000","21210",NA,NA
"WO - Repair Hydrant","S CALVERTON RD & HOLLINS ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-03T11:04:09.000","2015-03-08T11:04:09.000","BOOTH-BOYD","CLOSED","15-00162069","MD","CLOSED","2015-03-21T13:38:15.000","2015-03-20T13:34:48.000","21223",NA,NA
"Cityworks SR Comments","DUPONT AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-03T09:59:11.000","2015-03-08T09:59:11.000","CYLBURN","UPDATED","15-00161889","MD","CLOSED","2015-03-10T19:59:19.000","2015-03-10T23:15:53.000","21215",NA,NA
"Cityworks SR Comments","2603  PUGET ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-02T17:05:33.000","2015-03-07T17:05:33.000","MOUNT WINANS","UPDATED","15-00160293","MD","CLOSED","2015-03-21T13:02:55.000","2015-03-21T14:21:53.000","21230",NA,NA
"Cityworks SR Comments","SOUTHERN AVE & HARFORD RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-28T16:54:02.000","2015-03-05T16:54:02.000","LAURAVILLE","UPDATED","15-00155570","MD","CLOSED","2015-03-24T19:42:44.000","2015-03-24T21:06:10.000","21214",NA,NA
"WO - Repair Hydrant","3011  EVERGREEN AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-28T16:23:02.000","2015-03-05T16:23:02.000","GLENHAM-BELFORD","CLOSED","15-00155454","MD","CLOSED","2015-03-13T17:40:50.000","2015-03-12T17:37:41.000","21214",NA,NA
"WO - Repair Hydrant","2300 E BALTIMORE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-27T20:19:09.000","2015-03-04T20:19:09.000","PATTERSON PLACE","CLOSED","15-00154644","MD","CLOSED","2015-03-14T17:26:25.000","2015-03-13T17:22:17.000","21224",NA,NA
"WO - Repair Hydrant","WINDSOR AVE &N LONGWOOD ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-27T11:13:56.000","2015-03-04T11:13:56.000","WALBROOK","CLOSED","15-00152201","MD","CLOSED","2015-03-11T16:25:33.000","2015-03-09T19:47:47.000","21216",NA,NA
NA,"4302  EVANS CHAPEL RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-24T21:30:52.000","2015-03-01T21:30:52.000","HOES HEIGHTS",NA,"15-00143963","MD","DUPCLOSD","2015-02-24T21:30:52.000",NA,"21211",NA,NA
NA,"4300  EVANS CHAPEL RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-24T21:20:04.000","2015-03-01T21:20:04.000","HOES HEIGHTS",NA,"15-00143918","MD","DUPCLOSD","2015-02-24T21:20:04.000",NA,"21211",NA,NA
"Cityworks SR Comments","1429  ALICEANNA ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-24T11:40:26.000","2015-03-01T11:40:26.000","FELLS POINT","UPDATED","15-00140694","MD","HOLDLOCK","2015-03-14T17:49:04.000","2015-03-14T20:15:09.000","21231",NA,NA
"WO - Repair Hydrant","EVANS CHAPEL RD & PROVIDENCE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-24T11:27:08.000","2015-03-01T11:27:08.000","ROLAND PARK","CLOSED","15-00140608","MD","CLOSED","2015-03-25T13:12:26.000","2015-03-24T13:09:06.000","21211",NA,NA
"Cityworks SR Comments","ARGONNE DR","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-23T11:48:07.000","2015-02-28T11:48:07.000","HILLEN","UPDATED","15-00135448","MD","CLOSED","2015-02-24T13:38:44.000","2015-02-24T15:09:22.000","21218",NA,NA
"Cityworks SR Comments","4300  LIBERTY HEIGHTS AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-20T16:42:23.000","2015-02-25T16:42:23.000","DORCHESTER","UPDATED","15-00127500","MD","LOCKED","2015-02-20T16:50:11.000","2015-03-07T22:19:18.000","21207",NA,NA
"Cityworks SR Comments","OGDEN ST & O'DONNELL ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-20T01:25:47.000","2015-02-25T01:25:47.000","GRACELAND PARK","UPDATED","15-00124813","MD","CLOSED","2015-03-24T19:12:17.000","2015-03-24T21:06:10.000","21224",NA,NA
"Cityworks SR Comments","BELAIR RD & CHESTERFIELD AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-19T00:36:11.000","2015-02-24T00:36:11.000","BELAIR-EDISON","UPDATED","15-00120808","MD","CLOSED","2015-02-24T18:25:56.000","2015-02-24T21:08:33.000","21213",NA,NA
"Cityworks SR Comments","ELM AVE &W 36TH ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-18T11:29:03.000","2015-02-23T11:29:03.000","HAMPDEN","UPDATED","15-00117085","MD","CLOSED","2015-04-23T18:42:47.000","2015-04-23T18:51:28.000","21211",NA,NA
NA,"2801  CLEARVIEW AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-18T02:46:00.000","2015-02-23T02:46:00.000","NORTH HARFORD ROAD",NA,"15-00116535","MD","DUPCLOSD","2015-02-18T02:46:00.000",NA,"21234",NA,NA
"Cityworks SR Comments","501 W UNIVERSITY PKWY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-17T19:52:33.000","2015-02-22T19:52:33.000","ROLAND PARK","UPDATED","15-00115867","MD","CLOSED","2015-03-26T14:07:05.000","2015-03-26T14:53:41.000","21210",NA,NA
"WO - Repair Hydrant","HILLEN RD & 33RD CHILTON","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-15T11:39:43.000","2015-02-20T11:39:43.000","COLDSTREAM HOMESTEAD MONTEBELLO","CLOSED","15-00107692","MD","CLOSED","2015-02-26T17:34:49.000","2015-02-26T17:26:50.000","21218",NA,NA
"WO - Repair Hydrant","2000 W BALTIMORE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-14T12:57:33.000","2015-02-19T12:57:33.000","PENROSE/FAYETTE STREET OUTREACH","CLOSED","15-00106512","MD","CLOSED","2015-03-10T20:14:22.000","2015-03-09T20:02:45.000","21223",NA,NA
"Cityworks SR Comments","KESWICK RD &W 34TH ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-13T14:43:04.000","2015-02-18T14:43:04.000","WYMAN PARK","UPDATED","15-00104864","MD","CLOSED","2015-04-23T18:36:59.000","2015-04-23T18:41:12.000","21211",NA,NA
NA,"OLD HARFORD RD & CLEARVIEW AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-13T11:57:44.000","2015-02-18T11:57:44.000","HARFORD-ECHODALE/PERRING PARKWAY",NA,"15-00103914","MD","DUPCLOSD","2015-02-13T11:57:44.000",NA,"21234",NA,NA
"WO - Repair Hydrant","2524  LOCH RAVEN RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-13T11:25:54.000","2015-02-18T11:25:54.000","BETTER WAVERLY","CLOSED","15-00103758","MD","CLOSED","2015-04-17T17:05:45.000","2015-03-26T17:00:29.000","21218",NA,NA
"Cityworks SR Comments","W 28TH ST & REMINGTON AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-12T12:42:02.000","2015-02-17T12:42:02.000","REMINGTON","UPDATED","15-00101074","MD","CLOSED","2015-02-26T17:10:09.000","2015-02-26T18:13:57.000","21211",NA,NA
"Cityworks SR Comments","802 S CAROLINE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-11T15:40:09.000","2015-02-16T15:40:09.000","FELLS POINT","UPDATED","15-00099057","MD","CLOSED","2015-03-14T17:19:42.000","2015-03-14T20:15:09.000","21231",NA,NA
"Cityworks SR Comments","5547  LOTHIAN RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-10T17:58:00.000","2015-02-15T17:58:00.000","CAMERON VILLAGE","UPDATED","15-00095991","MD","CLOSED","2015-03-15T17:09:20.000","2015-03-15T19:59:18.000","21212",NA,NA
"Cityworks SR Comments","3633  YOLANDO RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-07T17:09:07.000","2015-02-12T17:09:07.000","EDNOR GARDENS-LAKESIDE","UPDATED","15-00089253","MD","HOLDLOCK","2015-03-13T17:29:23.000","2015-03-13T20:55:03.000","21218",NA,NA
NA,"3811  JUNIPER RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-07T16:34:47.000","2015-02-12T16:34:47.000","GUILFORD",NA,"15-00089207","MD","DUPCLOSD","2015-02-07T16:34:47.000",NA,"21218",NA,NA
"WO - Water Valve Maintenance","3811  JUNIPER RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-06T19:52:05.000","2015-02-11T19:52:05.000","GUILFORD","CLOSED","15-00088292","MD","CLOSED","2015-03-24T22:22:56.000","2015-03-24T14:20:43.000","21218",NA,NA
"Cityworks SR Comments","2601  GOODWOOD RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-06T12:09:44.000","2015-02-11T12:09:44.000","LAURAVILLE","UPDATED","15-00086368","MD","CLOSED","2015-03-13T17:32:55.000","2015-03-13T20:55:03.000","21214",NA,NA
"WO - Repair Hydrant","3000  JENIFER AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-06T11:36:02.000","2015-02-11T11:36:02.000","COLDSTREAM HOMESTEAD MONTEBELLO","CLOSED","15-00086170","MD","CLOSED","2015-03-13T17:19:52.000","2015-03-12T17:16:26.000","21218",NA,NA
"WO - Repair Hydrant","222 N CALVERTON RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-04T11:28:53.000","2015-02-09T11:28:53.000","PENROSE/FAYETTE STREET OUTREACH","CLOSED","15-00079602","MD","CLOSED","2015-03-23T16:08:53.000","2015-03-22T16:01:46.000","21223",NA,NA
"Cityworks SR Comments","539  OLDTOWN MALL","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-02T18:17:24.000","2015-02-07T18:17:24.000","OLDTOWN","UPDATED","15-00075050","MD","CLOSED","2015-03-08T14:40:15.000","2015-03-08T17:54:26.000","21202",NA,NA
"Cityworks SR Comments","2248  DRUID PARK DR","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-02T13:12:37.000","2015-02-07T13:12:37.000","WOODBERRY","UPDATED","15-00073746","MD","CLOSED","2015-05-04T17:22:38.000","2015-05-04T17:33:52.000","21211",NA,NA
"WO - Repair Hydrant","200 S ATHOL AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-02-01T12:20:21.000","2015-02-06T12:20:21.000","IRVINGTON","CLOSED","15-00072183","MD","CLOSED","2015-03-11T15:26:50.000","2015-03-10T15:24:44.000","21229",NA,NA
"WO - Repair Hydrant","MOUNT HOLLY ST & WOODRIDGE RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-31T11:07:14.000","2015-02-05T11:07:14.000","EDMONDSON VILLAGE","CLOSED","15-00071143","MD","CLOSED","2015-02-07T12:09:51.000","2015-02-05T12:02:54.000","21229",NA,NA
"Cityworks SR Comments","3812  CALLAWAY AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-29T14:45:06.000","2015-02-03T14:45:06.000","CALLAWAY-GARRISON","UPDATED","15-00066389","MD","CLOSED","2015-03-10T20:01:14.000","2015-03-10T23:15:53.000","21215",NA,NA
"WO - Repair Hydrant","500 E MADISON ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-28T11:35:13.000","2015-02-02T11:35:13.000","PENN-FALLSWAY","CLOSED","15-00062729","MD","CLOSED","2015-03-08T15:17:43.000","2015-03-07T15:09:36.000","21202",NA,NA
"Cityworks SR Comments","500 W UNIVERSITY PKWY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-28T11:00:21.000","2015-02-02T11:00:21.000","ROLAND PARK","UPDATED","15-00062627","MD","CLOSED","2015-02-03T12:50:15.000","2015-02-03T14:35:46.000","21210",NA,NA
"WO - Repair Hydrant","600  SCOTT ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-26T16:21:28.000","2015-01-31T16:21:28.000","WASHINGTON VILLAGE","CLOSED","15-00058490","MD","CLOSED","2015-03-14T17:39:12.000","2015-03-13T17:35:08.000","21230",NA,NA
"WO - Repair Hydrant","ROBERT ST & DRUID HILL AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-25T17:19:22.000","2015-01-30T17:19:22.000","DRUID HEIGHTS","CLOSED","15-00055752","MD","CLOSED","2015-01-27T13:44:20.000","2015-01-27T13:40:47.000","21217",NA,NA
"Cityworks SR Comments","2122  MARYLAND AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-24T03:10:27.000","2015-01-29T03:10:27.000","CHARLES NORTH","UPDATED","15-00054253","MD","CLOSED","2015-01-27T17:25:02.000","2015-01-27T17:28:51.000","21218",NA,NA
